,index,Unnamed: 0,timestamp,hour,date,interval_kWh,weekday,temp,pressure,humidity,wind_speed,wind_deg,sunrise_pst,sunset_pst,workday,season,Sunlight,hour_before,sunlight_No,sunlight_Yes,workday_0,workday_1,season_Fall,season_Spring,season_Summer,season_Winter
0,0,0,2020-04-16 00:00:00,0,2020-04-16,32.879999999999995,3,283.71,1013.0,91.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,283.66,1,0,0,1,0,1,0,0
1,1,1,2020-04-16 01:00:00,1,2020-04-16,32.68,3,283.64,1013.0,94.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,283.71,1,0,0,1,0,1,0,0
2,2,2,2020-04-16 02:00:00,2,2020-04-16,33.0,3,283.67,1012.0,94.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,283.64,1,0,0,1,0,1,0,0
3,3,3,2020-04-16 03:00:00,3,2020-04-16,33.48,3,283.77,1012.0,95.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,283.67,1,0,0,1,0,1,0,0
4,4,4,2020-04-16 04:00:00,4,2020-04-16,33.16,3,284.29,1012.0,94.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,283.77,1,0,0,1,0,1,0,0
5,5,5,2020-04-16 05:00:00,5,2020-04-16,32.800000000000004,3,284.21,1011.0,94.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,No,284.29,1,0,0,1,0,1,0,0
6,6,6,2020-04-16 06:00:00,6,2020-04-16,30.8,3,284.46,1011.0,94.0,2.6,190.0,06:30:44.000000,19:49:33.000000,1,Spring,No,284.21,1,0,0,1,0,1,0,0
7,7,7,2020-04-16 07:00:00,7,2020-04-16,19.68,3,284.62,1012.0,92.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,284.46,0,1,0,1,0,1,0,0
8,8,8,2020-04-16 08:00:00,8,2020-04-16,24.08,3,285.27,1012.0,90.0,0.0,0.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,284.62,0,1,0,1,0,1,0,0
9,9,9,2020-04-16 09:00:00,9,2020-04-16,27.12,3,286.05,1012.0,89.0,3.1,170.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,285.27,0,1,0,1,0,1,0,0
10,10,10,2020-04-16 10:00:00,10,2020-04-16,26.92,3,287.35,1012.0,84.0,0.45,90.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,286.05,0,1,0,1,0,1,0,0
11,11,11,2020-04-16 11:00:00,11,2020-04-16,25.84,3,288.81,1012.0,79.0,1.34,21.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,287.35,0,1,0,1,0,1,0,0
12,12,12,2020-04-16 12:00:00,12,2020-04-16,25.64,3,290.06,1012.0,75.0,1.34,44.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,288.81,0,1,0,1,0,1,0,0
13,13,13,2020-04-16 13:00:00,13,2020-04-16,26.12,3,291.37,1012.0,70.0,0.89,8.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,290.06,0,1,0,1,0,1,0,0
14,14,14,2020-04-16 14:00:00,14,2020-04-16,25.64,3,294.12,1011.0,62.0,1.79,231.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,291.37,0,1,0,1,0,1,0,0
15,15,15,2020-04-16 15:00:00,15,2020-04-16,24.84,3,292.79,1011.0,66.0,2.24,250.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,294.12,0,1,0,1,0,1,0,0
16,16,16,2020-04-16 16:00:00,16,2020-04-16,23.08,3,290.1,1011.0,73.0,2.68,233.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,292.79,0,1,0,1,0,1,0,0
17,17,17,2020-04-16 17:00:00,17,2020-04-16,22.36,3,288.7,1011.0,77.0,3.13,292.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,290.1,0,1,0,1,0,1,0,0
18,18,18,2020-04-16 18:00:00,18,2020-04-16,22.64,3,287.32,1011.0,80.0,1.79,235.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,288.7,0,1,0,1,0,1,0,0
19,19,19,2020-04-16 19:00:00,19,2020-04-16,27.08,3,285.82,1011.0,85.0,2.24,237.0,06:30:44.000000,19:49:33.000000,1,Spring,Yes,287.32,0,1,0,1,0,1,0,0
20,20,20,2020-04-16 20:00:00,20,2020-04-16,36.88,3,285.17,1011.0,86.0,0.89,257.0,06:30:44.000000,19:49:33.000000,1,Spring,No,285.82,1,0,0,1,0,1,0,0
21,21,21,2020-04-16 21:00:00,21,2020-04-16,35.92,3,284.74,1011.0,88.0,1.34,257.0,06:30:44.000000,19:49:33.000000,1,Spring,No,285.17,1,0,0,1,0,1,0,0
22,22,22,2020-04-16 22:00:00,22,2020-04-16,35.68,3,284.55,1012.0,88.0,0.89,275.0,06:30:44.000000,19:49:33.000000,1,Spring,No,284.74,1,0,0,1,0,1,0,0
23,23,23,2020-04-16 23:00:00,23,2020-04-16,34.239999999999995,3,284.54,1011.0,87.0,0.45,269.0,06:30:44.000000,19:49:33.000000,1,Spring,No,284.55,1,0,0,1,0,1,0,0
24,24,24,2020-04-17 00:00:00,0,2020-04-17,32.2,4,284.29,1012.0,92.0,1.34,230.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.54,1,0,0,1,0,1,0,0
25,25,25,2020-04-17 01:00:00,1,2020-04-17,32.16,4,284.14,1012.0,92.0,0.45,258.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.29,1,0,0,1,0,1,0,0
26,26,26,2020-04-17 02:00:00,2,2020-04-17,32.16,4,284.03,1012.0,92.0,0.89,286.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.14,1,0,0,1,0,1,0,0
27,27,27,2020-04-17 03:00:00,3,2020-04-17,33.879999999999995,4,284.02,1012.0,93.0,0.0,0.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.03,1,0,0,1,0,1,0,0
28,28,28,2020-04-17 04:00:00,4,2020-04-17,32.52,4,283.84,1011.0,93.0,0.45,268.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.02,1,0,0,1,0,1,0,0
29,29,29,2020-04-17 05:00:00,5,2020-04-17,32.68,4,284.03,1012.0,94.0,0.0,0.0,06:29:21.000000,19:50:29.000000,1,Spring,No,283.84,1,0,0,1,0,1,0,0
30,30,30,2020-04-17 06:00:00,6,2020-04-17,30.56,4,284.03,1012.0,93.0,1.5,260.0,06:29:21.000000,19:50:29.000000,1,Spring,No,284.03,1,0,0,1,0,1,0,0
31,31,31,2020-04-17 07:00:00,7,2020-04-17,19.04,4,284.03,1012.0,91.0,0.0,0.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,284.03,0,1,0,1,0,1,0,0
32,32,32,2020-04-17 08:00:00,8,2020-04-17,23.28,4,284.61,1012.0,90.0,0.0,0.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,284.03,0,1,0,1,0,1,0,0
33,33,33,2020-04-17 09:00:00,9,2020-04-17,26.08,4,285.17,1013.0,87.0,1.34,212.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,284.61,0,1,0,1,0,1,0,0
34,34,34,2020-04-17 10:00:00,10,2020-04-17,25.96,4,286.08,1014.0,83.0,1.5,270.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,285.17,0,1,0,1,0,1,0,0
35,35,35,2020-04-17 11:00:00,11,2020-04-17,26.36,4,287.11,1014.0,79.0,0.89,216.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,286.08,0,1,0,1,0,1,0,0
36,36,36,2020-04-17 12:00:00,12,2020-04-17,26.28,4,288.01,1014.0,76.0,1.34,202.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,287.11,0,1,0,1,0,1,0,0
37,37,37,2020-04-17 13:00:00,13,2020-04-17,26.48,4,289.35,1013.0,72.0,0.89,302.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,288.01,0,1,0,1,0,1,0,0
38,38,38,2020-04-17 14:00:00,14,2020-04-17,25.6,4,289.78,1013.0,69.0,0.89,234.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,289.35,0,1,0,1,0,1,0,0
39,39,39,2020-04-17 15:00:00,15,2020-04-17,25.48,4,289.39,1013.0,69.0,0.89,257.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,289.78,0,1,0,1,0,1,0,0
40,40,40,2020-04-17 16:00:00,16,2020-04-17,24.88,4,288.79,1013.0,71.0,1.79,252.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,289.39,0,1,0,1,0,1,0,0
41,41,41,2020-04-17 17:00:00,17,2020-04-17,23.44,4,287.87,1013.0,72.0,2.68,202.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,288.79,0,1,0,1,0,1,0,0
42,42,42,2020-04-17 18:00:00,18,2020-04-17,23.4,4,287.24,1013.0,75.0,1.34,259.0,06:29:21.000000,19:50:29.000000,1,Spring,Yes,287.87,0,1,0,1,0,1,0,0
