,index,timestamp,interval_kWh,weekday,temp,hour,hour_before,feels_like,workday,season,pressure,humidity,sunrise_pst,sunset_pst,Sunlight,sunlight_No,sunlight_Yes,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,workday_0,workday_1,season_Fall,season_Spring,season_Summer,season_Winter
0,0,2020-04-29 00:00:00,5.76,2,286.3,0,286.83,285.68,1,Spring,1014.0,77.0,06:13:51.000000,20:02:39.000000,No,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
1,1,2020-04-29 01:00:00,5.68,2,285.59,1,286.3,284.9,1,Spring,1015.0,77.0,06:13:51.000000,20:02:39.000000,No,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
2,2,2020-04-29 02:00:00,5.6,2,285.1,2,285.59,284.41,1,Spring,1014.0,79.0,06:13:51.000000,20:02:39.000000,No,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
3,3,2020-04-29 03:00:00,5.84,2,284.65,3,285.1,283.94,1,Spring,1014.0,80.0,06:13:51.000000,20:02:39.000000,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
4,4,2020-04-29 04:00:00,5.6,2,284.34,4,284.65,283.86,1,Spring,1014.0,90.0,06:13:51.000000,20:02:39.000000,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
5,5,2020-04-29 05:00:00,5.68,2,284.52,5,284.34,283.91,1,Spring,1014.0,84.0,06:13:51.000000,20:02:39.000000,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
6,6,2020-04-29 06:00:00,4.32,2,284.09,6,284.52,283.64,1,Spring,1015.0,92.0,06:13:51.000000,20:02:39.000000,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
7,7,2020-04-29 07:00:00,2.72,2,284.07,7,284.09,283.62,1,Spring,1014.0,92.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
8,8,2020-04-29 08:00:00,2.8,2,284.6,8,284.07,284.07,1,Spring,1015.0,87.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
9,9,2020-04-29 09:00:00,2.96,2,286.46,9,284.6,285.73,1,Spring,1016.0,72.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
10,10,2020-04-29 10:00:00,3.28,2,288.53,10,286.46,288.13,1,Spring,1015.0,77.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
11,11,2020-04-29 11:00:00,3.3600000000000003,2,290.51,11,288.53,290.23,1,Spring,1016.0,74.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
12,12,2020-04-29 12:00:00,2.88,2,291.33,12,290.51,290.95,1,Spring,1018.0,67.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
13,13,2020-04-29 13:00:00,3.36,2,294.83,13,291.33,294.59,1,Spring,1015.0,59.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
14,14,2020-04-29 14:00:00,3.76,2,296.49,14,294.83,296.29,1,Spring,1015.0,54.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
15,15,2020-04-29 15:00:00,3.3600000000000003,2,297.05,15,296.49,296.91,1,Spring,1014.0,54.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0
16,16,2020-04-29 16:00:00,3.76,2,296.5,16,297.05,296.38,1,Spring,1014.0,57.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0
17,17,2020-04-29 17:00:00,3.44,2,297.6,17,296.5,297.56,1,Spring,1013.0,56.0,06:13:51.000000,20:02:39.000000,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0
